scenario,window,type,repetitions,mean_ms,sd_ms,min_ms,max_ms
low,5min,cagg,3,240.85,5.45,236.97,247.08
low,5min,raw,3,248.3,17.22,233.69,267.29
low,1h,cagg,3,242.84,8.41,234.88,251.63
low,1h,raw,3,247.78,3.15,245.73,251.41
low,24h,cagg,3,241.91,9.35,231.36,249.16
low,24h,raw,3,240.36,2.38,238.16,242.88
medium,5min,cagg,3,262.69,8.37,256.03,272.09
medium,5min,raw,3,297.44,17.49,286.26,317.6
medium,1h,cagg,3,268.51,6.77,261.43,274.93
medium,1h,raw,3,293.63,27.4,262.05,311.13
medium,24h,cagg,3,250.11,7.29,244.58,258.37
medium,24h,raw,3,298.62,22.0,273.95,316.18
high,5min,cagg,3,265.39,32.05,230.77,294.02
high,5min,raw,3,373.57,4.22,369.72,378.08
high,1h,cagg,3,256.67,22.78,243.45,282.98
high,1h,raw,3,407.05,48.37,360.66,457.19
high,24h,cagg,3,288.17,49.09,234.97,331.73
high,24h,raw,3,946.07,29.59,912.08,966.08
