timestamp_utc,container,cpu_percent,memory_usage,memory_percent,net_io,block_io
2026-09-07T21:40:37.6843659Z,f0ca9beaee79,5.97%,774.8MiB / 7.669GiB,9.87%,63.8MB / 66MB,20.4MB / 45.4MB
2026-09-07T21:40:37.6843659Z,7015ccbd4117,0.07%,54.79MiB / 7.669GiB,0.70%,32.5kB / 8.06kB,194MB / 23.6MB
2026-09-07T21:40:37.6843659Z,780cf24df99c,4.66%,596.3MiB / 7.669GiB,7.59%,25.6MB / 23.2MB,148MB / 67.6MB
2026-09-07T21:40:37.6843659Z,d6e0c9f9bb0e,0.01%,113.2MiB / 7.669GiB,1.44%,18.3MB / 2.02MB,69.7MB / 244MB
2026-09-07T21:40:37.6843659Z,4c260e843873,1.41%,966.6MiB / 7.669GiB,12.31%,69.4MB / 43.6MB,167MB / 63.2MB
2026-09-07T21:40:37.6843659Z,e0d1802d50e4,0.00%,0B / 0B,0.00%,0B / 0B,0B / 0B
2026-09-07T21:40:50.6305700Z,e0d1802d50e4,188.91%,74.43MiB / 7.669GiB,0.95%,18.3kB / 9.3kB,0B / 197kB
2026-09-07T21:40:50.6305700Z,f0ca9beaee79,1.81%,775.6MiB / 7.669GiB,9.88%,63.8MB / 66MB,20.4MB / 45.4MB
2026-09-07T21:40:50.6305700Z,7015ccbd4117,0.77%,54.71MiB / 7.669GiB,0.70%,32.6kB / 8.06kB,194MB / 23.6MB
2026-09-07T21:40:50.6305700Z,780cf24df99c,1.11%,595.9MiB / 7.669GiB,7.59%,25.6MB / 23.2MB,148MB / 67.6MB
2026-09-07T21:40:50.6305700Z,d6e0c9f9bb0e,0.02%,112.9MiB / 7.669GiB,1.44%,18.3MB / 2.02MB,69.7MB / 244MB
2026-09-07T21:40:50.6305700Z,4c260e843873,1.43%,966.5MiB / 7.669GiB,12.31%,69.5MB / 43.6MB,167MB / 63.4MB
2026-09-07T21:41:03.6146580Z,e0d1802d50e4,119.42%,8.273MiB / 7.669GiB,0.11%,46.8kB / 21.5kB,0B / 492kB
2026-09-07T21:41:03.6146580Z,f0ca9beaee79,1.46%,775.5MiB / 7.669GiB,9.88%,63.8MB / 66MB,20.4MB / 45.4MB
2026-09-07T21:41:03.6146580Z,7015ccbd4117,0.08%,55.14MiB / 7.669GiB,0.70%,32.6kB / 8.06kB,194MB / 23.6MB
2026-09-07T21:41:03.6146580Z,780cf24df99c,1.16%,597.1MiB / 7.669GiB,7.60%,25.7MB / 23.2MB,148MB / 67.6MB
2026-09-07T21:41:03.6146580Z,d6e0c9f9bb0e,0.01%,112.6MiB / 7.669GiB,1.43%,18.3MB / 2.02MB,69.7MB / 244MB
2026-09-07T21:41:03.6146580Z,4c260e843873,1.55%,967.6MiB / 7.669GiB,12.32%,69.5MB / 43.7MB,167MB / 63.5MB
2026-09-07T21:41:16.5382368Z,a6276b118c81,32.84%,19.14MiB / 7.669GiB,0.24%,226kB / 3.51MB,0B / 0B
2026-09-07T21:41:16.5382368Z,f0ca9beaee79,15.11%,764.1MiB / 7.669GiB,9.73%,68.5MB / 74.8MB,20.4MB / 45.4MB
2026-09-07T21:41:16.5382368Z,7015ccbd4117,0.05%,54.55MiB / 7.669GiB,0.69%,32.8kB / 8.06kB,194MB / 23.6MB
2026-09-07T21:41:16.5382368Z,780cf24df99c,2.40%,599.3MiB / 7.669GiB,7.63%,25.7MB / 23.2MB,148MB / 67.6MB
2026-09-07T21:41:16.5382368Z,d6e0c9f9bb0e,35.25%,118.4MiB / 7.669GiB,1.51%,21.4MB / 2.34MB,69.7MB / 254MB
2026-09-07T21:41:16.5382368Z,4c260e843873,37.52%,973MiB / 7.669GiB,12.39%,78.6MB / 48.2MB,167MB / 63.7MB
2026-09-07T21:41:29.4816567Z,a6276b118c81,38.00%,19.07MiB / 7.669GiB,0.24%,473kB / 7.42MB,0B / 0B
2026-09-07T21:41:29.4816567Z,f0ca9beaee79,12.83%,765.4MiB / 7.669GiB,9.75%,73.5MB / 84.6MB,20.4MB / 45.4MB
2026-09-07T21:41:29.4816567Z,7015ccbd4117,0.17%,54.31MiB / 7.669GiB,0.69%,32.8kB / 8.06kB,194MB / 23.6MB
2026-09-07T21:41:29.4816567Z,780cf24df99c,0.86%,599.7MiB / 7.669GiB,7.64%,25.7MB / 23.2MB,148MB / 67.6MB
2026-09-07T21:41:29.4816567Z,d6e0c9f9bb0e,63.08%,124.6MiB / 7.669GiB,1.59%,25.1MB / 2.72MB,69.7MB / 266MB
2026-09-07T21:41:29.4816567Z,4c260e843873,185.81%,1.024GiB / 7.669GiB,13.36%,88.5MB / 53.1MB,167MB / 63.9MB
2026-09-07T21:41:42.4725044Z,a6276b118c81,34.46%,19.34MiB / 7.669GiB,0.25%,692kB / 11MB,0B / 0B
2026-09-07T21:41:42.4725044Z,f0ca9beaee79,12.40%,768.1MiB / 7.669GiB,9.78%,78.5MB / 94.2MB,20.4MB / 45.4MB
2026-09-07T21:41:42.4725044Z,7015ccbd4117,0.12%,54.64MiB / 7.669GiB,0.70%,32.8kB / 8.06kB,194MB / 23.6MB
2026-09-07T21:41:42.4725044Z,780cf24df99c,0.97%,600.1MiB / 7.669GiB,7.64%,25.8MB / 23.2MB,148MB / 67.7MB
2026-09-07T21:41:42.4725044Z,d6e0c9f9bb0e,51.42%,130MiB / 7.669GiB,1.66%,28.8MB / 3.09MB,69.7MB / 278MB
2026-09-07T21:41:42.4725044Z,4c260e843873,16.05%,976.8MiB / 7.669GiB,12.44%,98.4MB / 58MB,167MB / 64.1MB
2026-09-07T21:41:55.4307345Z,a6276b118c81,28.89%,19.33MiB / 7.669GiB,0.25%,935kB / 14.9MB,0B / 0B
2026-09-07T21:41:55.4307345Z,f0ca9beaee79,15.10%,790.4MiB / 7.669GiB,10.06%,83.6MB / 104MB,20.4MB / 45.4MB
2026-09-07T21:41:55.4307345Z,7015ccbd4117,0.08%,55.15MiB / 7.669GiB,0.70%,32.8kB / 8.06kB,194MB / 23.6MB
2026-09-07T21:41:55.4307345Z,780cf24df99c,2.58%,601MiB / 7.669GiB,7.65%,25.8MB / 23.2MB,148MB / 67.7MB
2026-09-07T21:41:55.4307345Z,d6e0c9f9bb0e,42.13%,135.6MiB / 7.669GiB,1.73%,32.2MB / 3.43MB,69.7MB / 329MB
2026-09-07T21:41:55.4307345Z,4c260e843873,17.33%,978.5MiB / 7.669GiB,12.46%,108MB / 62.5MB,167MB / 95.2MB
2026-09-07T21:42:08.3366931Z,a6276b118c81,32.36%,18.97MiB / 7.669GiB,0.24%,1.18MB / 18.8MB,0B / 0B
2026-09-07T21:42:08.3366931Z,f0ca9beaee79,17.64%,791.6MiB / 7.669GiB,10.08%,88.2MB / 113MB,20.4MB / 45.4MB
2026-09-07T21:42:08.3366931Z,7015ccbd4117,0.16%,54MiB / 7.669GiB,0.69%,32.8kB / 8.06kB,194MB / 23.6MB
2026-09-07T21:42:08.3366931Z,780cf24df99c,2.46%,601.5MiB / 7.669GiB,7.66%,25.9MB / 23.3MB,148MB / 67.7MB
2026-09-07T21:42:08.3366931Z,d6e0c9f9bb0e,34.62%,142.3MiB / 7.669GiB,1.81%,36MB / 3.82MB,69.7MB / 345MB
2026-09-07T21:42:08.3366931Z,4c260e843873,18.82%,980.4MiB / 7.669GiB,12.49%,118MB / 67.8MB,167MB / 95.4MB
2026-09-07T21:42:21.2484759Z,a6276b118c81,29.02%,19.56MiB / 7.669GiB,0.25%,1.43MB / 22.8MB,0B / 0B
2026-09-07T21:42:21.2484759Z,f0ca9beaee79,12.87%,768.1MiB / 7.669GiB,9.78%,93.3MB / 123MB,20.4MB / 45.4MB
2026-09-07T21:42:21.2484759Z,7015ccbd4117,0.75%,55.54MiB / 7.669GiB,0.71%,37.7kB / 9.19kB,194MB / 23.6MB
2026-09-07T21:42:21.2484759Z,780cf24df99c,0.92%,595.7MiB / 7.669GiB,7.59%,25.9MB / 23.3MB,148MB / 67.7MB
2026-09-07T21:42:21.2484759Z,d6e0c9f9bb0e,44.41%,149.3MiB / 7.669GiB,1.90%,39.7MB / 4.19MB,69.7MB / 389MB
2026-09-07T21:42:21.2484759Z,4c260e843873,16.55%,981.9MiB / 7.669GiB,12.50%,128MB / 72.8MB,167MB / 108MB
2026-09-07T21:42:34.2222606Z,a6276b118c81,29.05%,19.58MiB / 7.669GiB,0.25%,1.7MB / 27MB,0B / 0B
2026-09-07T21:42:34.2222606Z,f0ca9beaee79,13.13%,768.3MiB / 7.669GiB,9.78%,98.9MB / 133MB,20.4MB / 45.4MB
2026-09-07T21:42:34.2222606Z,7015ccbd4117,0.08%,55.42MiB / 7.669GiB,0.71%,37.7kB / 9.19kB,194MB / 23.6MB
2026-09-07T21:42:34.2222606Z,780cf24df99c,1.61%,595.8MiB / 7.669GiB,7.59%,25.9MB / 23.3MB,148MB / 67.7MB
2026-09-07T21:42:34.2222606Z,d6e0c9f9bb0e,52.20%,155.8MiB / 7.669GiB,1.98%,43.4MB / 4.56MB,69.7MB / 419MB
2026-09-07T21:42:34.2222606Z,4c260e843873,16.56%,984.6MiB / 7.669GiB,12.54%,138MB / 77.8MB,167MB / 109MB
2026-09-07T21:42:47.1109166Z,a6276b118c81,31.62%,18.87MiB / 7.669GiB,0.24%,1.95MB / 30.9MB,0B / 0B
2026-09-07T21:42:47.1109166Z,f0ca9beaee79,18.71%,776.6MiB / 7.669GiB,9.89%,104MB / 143MB,20.4MB / 45.5MB
2026-09-07T21:42:47.1109166Z,7015ccbd4117,0.04%,54.49MiB / 7.669GiB,0.69%,37.7kB / 9.19kB,194MB / 23.6MB
2026-09-07T21:42:47.1109166Z,780cf24df99c,0.91%,604.1MiB / 7.669GiB,7.69%,26MB / 23.3MB,148MB / 67.7MB
2026-09-07T21:42:47.1109166Z,d6e0c9f9bb0e,44.45%,161.7MiB / 7.669GiB,2.06%,47.1MB / 4.92MB,69.7MB / 433MB
2026-09-07T21:42:47.1109166Z,4c260e843873,17.16%,989.1MiB / 7.669GiB,12.60%,148MB / 82.4MB,167MB / 121MB
2026-09-07T21:43:00.0147620Z,a6276b118c81,27.94%,19.3MiB / 7.669GiB,0.25%,2.17MB / 34.5MB,0B / 0B
2026-09-07T21:43:00.0147620Z,f0ca9beaee79,13.41%,776.8MiB / 7.669GiB,9.89%,109MB / 153MB,20.4MB / 45.5MB
2026-09-07T21:43:00.0147620Z,7015ccbd4117,0.04%,53.83MiB / 7.669GiB,0.69%,37.8kB / 9.25kB,194MB / 23.6MB
2026-09-07T21:43:00.0147620Z,780cf24df99c,0.88%,604.5MiB / 7.669GiB,7.70%,26MB / 23.3MB,148MB / 67.7MB
2026-09-07T21:43:00.0147620Z,d6e0c9f9bb0e,47.75%,166.5MiB / 7.669GiB,2.12%,50.4MB / 5.26MB,69.7MB / 475MB
2026-09-07T21:43:00.0147620Z,4c260e843873,16.61%,991.4MiB / 7.669GiB,12.62%,158MB / 87.8MB,167MB / 134MB
2026-09-07T21:43:12.9220471Z,a6276b118c81,29.15%,20.2MiB / 7.669GiB,0.26%,2.42MB / 38.7MB,0B / 0B
2026-09-07T21:43:12.9220471Z,f0ca9beaee79,12.55%,779.9MiB / 7.669GiB,9.93%,114MB / 163MB,20.4MB / 45.5MB
2026-09-07T21:43:12.9220471Z,7015ccbd4117,0.80%,55.3MiB / 7.669GiB,0.70%,37.8kB / 9.25kB,194MB / 23.6MB
2026-09-07T21:43:12.9220471Z,780cf24df99c,0.86%,603.9MiB / 7.669GiB,7.69%,26.1MB / 23.3MB,148MB / 67.8MB
2026-09-07T21:43:12.9220471Z,d6e0c9f9bb0e,39.50%,173.5MiB / 7.669GiB,2.21%,54.3MB / 5.65MB,69.7MB / 507MB
2026-09-07T21:43:12.9220471Z,4c260e843873,15.68%,992.7MiB / 7.669GiB,12.64%,168MB / 92.6MB,167MB / 142MB
2026-09-07T21:43:25.8261472Z,a6276b118c81,35.62%,19.62MiB / 7.669GiB,0.25%,2.66MB / 42.6MB,0B / 0B
2026-09-07T21:43:25.8261472Z,f0ca9beaee79,14.01%,777.9MiB / 7.669GiB,9.91%,119MB / 172MB,20.4MB / 45.5MB
2026-09-07T21:43:25.8261472Z,7015ccbd4117,0.08%,54.83MiB / 7.669GiB,0.70%,37.8kB / 9.32kB,194MB / 23.6MB
2026-09-07T21:43:25.8261472Z,780cf24df99c,3.19%,605.7MiB / 7.669GiB,7.71%,26.1MB / 23.3MB,148MB / 67.8MB
2026-09-07T21:43:25.8261472Z,d6e0c9f9bb0e,58.10%,178.5MiB / 7.669GiB,2.27%,57.9MB / 6.03MB,69.7MB / 530MB
2026-09-07T21:43:25.8261472Z,4c260e843873,138.74%,1.015GiB / 7.669GiB,13.24%,178MB / 97.5MB,167MB / 155MB
2026-09-07T21:43:38.7561714Z,a6276b118c81,29.30%,20.24MiB / 7.669GiB,0.26%,2.9MB / 46.5MB,0B / 0B
2026-09-07T21:43:38.7561714Z,f0ca9beaee79,12.43%,780.2MiB / 7.669GiB,9.94%,124MB / 182MB,20.4MB / 45.5MB
2026-09-07T21:43:38.7561714Z,7015ccbd4117,0.14%,54.6MiB / 7.669GiB,0.70%,37.9kB / 9.4kB,194MB / 23.6MB
2026-09-07T21:43:38.7561714Z,780cf24df99c,9.96%,606MiB / 7.669GiB,7.72%,26.2MB / 23.3MB,148MB / 67.8MB
2026-09-07T21:43:38.7561714Z,d6e0c9f9bb0e,45.45%,185.1MiB / 7.669GiB,2.36%,61.6MB / 6.4MB,69.7MB / 564MB
2026-09-07T21:43:38.7561714Z,4c260e843873,205.15%,1.027GiB / 7.669GiB,13.39%,187MB / 102MB,167MB / 163MB
2026-09-07T21:43:51.7105236Z,a6276b118c81,29.37%,20.37MiB / 7.669GiB,0.26%,3.13MB / 50.1MB,0B / 0B
2026-09-07T21:43:51.7105236Z,f0ca9beaee79,2.21%,775.2MiB / 7.669GiB,9.87%,129MB / 191MB,20.4MB / 45.5MB
2026-09-07T21:43:51.7105236Z,7015ccbd4117,0.74%,55.68MiB / 7.669GiB,0.71%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:43:51.7105236Z,780cf24df99c,0.96%,604.8MiB / 7.669GiB,7.70%,26.2MB / 23.3MB,148MB / 67.8MB
2026-09-07T21:43:51.7105236Z,d6e0c9f9bb0e,8.41%,191MiB / 7.669GiB,2.43%,65MB / 6.73MB,69.7MB / 603MB
2026-09-07T21:43:51.7105236Z,4c260e843873,31.86%,998.7MiB / 7.669GiB,12.72%,197MB / 107MB,167MB / 176MB
2026-09-07T21:44:04.7155884Z,a6276b118c81,29.23%,19.96MiB / 7.669GiB,0.25%,3.36MB / 54MB,0B / 0B
2026-09-07T21:44:04.7155884Z,f0ca9beaee79,14.97%,776.4MiB / 7.669GiB,9.89%,134MB / 201MB,20.4MB / 45.5MB
2026-09-07T21:44:04.7155884Z,7015ccbd4117,0.05%,54.47MiB / 7.669GiB,0.69%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:44:04.7155884Z,780cf24df99c,5.79%,605.1MiB / 7.669GiB,7.71%,26.2MB / 23.3MB,148MB / 67.8MB
2026-09-07T21:44:04.7155884Z,d6e0c9f9bb0e,32.37%,196.9MiB / 7.669GiB,2.51%,68.9MB / 7.14MB,69.7MB / 618MB
2026-09-07T21:44:04.7155884Z,4c260e843873,17.19%,1002MiB / 7.669GiB,12.76%,208MB / 112MB,167MB / 176MB
2026-09-07T21:44:17.6373068Z,a6276b118c81,29.13%,19.86MiB / 7.669GiB,0.25%,3.61MB / 57.9MB,0B / 0B
2026-09-07T21:44:17.6373068Z,f0ca9beaee79,14.22%,777MiB / 7.669GiB,9.90%,139MB / 210MB,20.4MB / 45.5MB
2026-09-07T21:44:17.6373068Z,7015ccbd4117,0.04%,54.77MiB / 7.669GiB,0.70%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:44:17.6373068Z,780cf24df99c,0.86%,605.4MiB / 7.669GiB,7.71%,26.3MB / 23.4MB,148MB / 67.8MB
2026-09-07T21:44:17.6373068Z,d6e0c9f9bb0e,49.04%,204.1MiB / 7.669GiB,2.60%,72.5MB / 7.51MB,69.7MB / 651MB
2026-09-07T21:44:17.6373068Z,4c260e843873,15.11%,1003MiB / 7.669GiB,12.77%,218MB / 117MB,167MB / 185MB
2026-09-07T21:44:30.5814806Z,a6276b118c81,29.10%,20.32MiB / 7.669GiB,0.26%,3.86MB / 61.9MB,0B / 0B
2026-09-07T21:44:30.5814806Z,f0ca9beaee79,13.88%,777.6MiB / 7.669GiB,9.90%,144MB / 221MB,20.4MB / 45.5MB
2026-09-07T21:44:30.5814806Z,7015ccbd4117,0.07%,54.56MiB / 7.669GiB,0.69%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:44:30.5814806Z,780cf24df99c,0.94%,604.9MiB / 7.669GiB,7.70%,26.3MB / 23.4MB,148MB / 67.8MB
2026-09-07T21:44:30.5814806Z,d6e0c9f9bb0e,63.58%,211.5MiB / 7.669GiB,2.69%,76.2MB / 7.88MB,69.7MB / 693MB
2026-09-07T21:44:30.5814806Z,4c260e843873,16.38%,1005MiB / 7.669GiB,12.80%,228MB / 122MB,167MB / 194MB
2026-09-07T21:44:43.4641654Z,a6276b118c81,30.95%,20.19MiB / 7.669GiB,0.26%,4.1MB / 65.8MB,0B / 0B
2026-09-07T21:44:43.4641654Z,f0ca9beaee79,15.31%,778.1MiB / 7.669GiB,9.91%,149MB / 231MB,20.4MB / 45.5MB
2026-09-07T21:44:43.4641654Z,7015ccbd4117,0.49%,55.12MiB / 7.669GiB,0.70%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:44:43.4641654Z,780cf24df99c,0.93%,604.9MiB / 7.669GiB,7.70%,26.4MB / 23.4MB,148MB / 67.9MB
2026-09-07T21:44:43.4641654Z,d6e0c9f9bb0e,40.27%,212.4MiB / 7.669GiB,2.70%,79.9MB / 8.25MB,69.7MB / 709MB
2026-09-07T21:44:43.4641654Z,4c260e843873,15.13%,1007MiB / 7.669GiB,12.83%,237MB / 126MB,167MB / 208MB
2026-09-07T21:44:56.3597282Z,a6276b118c81,28.68%,19.82MiB / 7.669GiB,0.25%,4.35MB / 70MB,0B / 0B
2026-09-07T21:44:56.3597282Z,f0ca9beaee79,11.83%,778.3MiB / 7.669GiB,9.91%,154MB / 240MB,20.4MB / 45.5MB
2026-09-07T21:44:56.3597282Z,7015ccbd4117,0.04%,54.64MiB / 7.669GiB,0.70%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:44:56.3597282Z,780cf24df99c,1.89%,605.4MiB / 7.669GiB,7.71%,26.4MB / 23.4MB,148MB / 67.9MB
2026-09-07T21:44:56.3597282Z,d6e0c9f9bb0e,64.01%,213.2MiB / 7.669GiB,2.71%,82.9MB / 8.56MB,69.7MB / 762MB
2026-09-07T21:44:56.3597282Z,4c260e843873,13.32%,1009MiB / 7.669GiB,12.85%,248MB / 132MB,167MB / 217MB
2026-09-07T21:45:09.2823378Z,a6276b118c81,29.26%,19.99MiB / 7.669GiB,0.25%,4.58MB / 73.6MB,0B / 0B
2026-09-07T21:45:09.2823378Z,f0ca9beaee79,12.26%,783.8MiB / 7.669GiB,9.98%,159MB / 250MB,20.4MB / 45.6MB
2026-09-07T21:45:09.2823378Z,7015ccbd4117,0.04%,54.55MiB / 7.669GiB,0.69%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:45:09.2823378Z,780cf24df99c,0.90%,608.6MiB / 7.669GiB,7.75%,26.4MB / 23.4MB,148MB / 67.9MB
2026-09-07T21:45:09.2823378Z,d6e0c9f9bb0e,51.85%,214.1MiB / 7.669GiB,2.73%,87.1MB / 8.99MB,69.7MB / 809MB
2026-09-07T21:45:09.2823378Z,4c260e843873,15.25%,1010MiB / 7.669GiB,12.86%,258MB / 136MB,167MB / 221MB
2026-09-07T21:45:22.1932176Z,a6276b118c81,28.83%,19.89MiB / 7.669GiB,0.25%,4.83MB / 77.5MB,0B / 0B
2026-09-07T21:45:22.1932176Z,f0ca9beaee79,13.58%,784.7MiB / 7.669GiB,9.99%,164MB / 260MB,20.4MB / 45.6MB
2026-09-07T21:45:22.1932176Z,7015ccbd4117,0.87%,55.61MiB / 7.669GiB,0.71%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:45:22.1932176Z,780cf24df99c,0.95%,608.4MiB / 7.669GiB,7.75%,26.5MB / 23.4MB,148MB / 67.9MB
2026-09-07T21:45:22.1932176Z,d6e0c9f9bb0e,49.59%,213.7MiB / 7.669GiB,2.72%,90.5MB / 9.33MB,69.7MB / 825MB
2026-09-07T21:45:22.1932176Z,4c260e843873,34.94%,1015MiB / 7.669GiB,12.93%,267MB / 141MB,167MB / 242MB
2026-09-07T21:45:35.1125692Z,a6276b118c81,35.75%,20.21MiB / 7.669GiB,0.26%,5.07MB / 81.4MB,0B / 0B
2026-09-07T21:45:35.1125692Z,f0ca9beaee79,14.19%,796.1MiB / 7.669GiB,10.14%,170MB / 270MB,20.4MB / 45.6MB
2026-09-07T21:45:35.1125692Z,7015ccbd4117,0.06%,54.26MiB / 7.669GiB,0.69%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:45:35.1125692Z,780cf24df99c,1.22%,609MiB / 7.669GiB,7.75%,26.5MB / 23.4MB,148MB / 67.9MB
2026-09-07T21:45:35.1125692Z,d6e0c9f9bb0e,52.94%,214.9MiB / 7.669GiB,2.74%,94.2MB / 9.7MB,69.7MB / 863MB
2026-09-07T21:45:35.1125692Z,4c260e843873,60.11%,1017MiB / 7.669GiB,12.96%,278MB / 147MB,167MB / 242MB
2026-09-07T21:45:48.0192935Z,a6276b118c81,32.28%,20.27MiB / 7.669GiB,0.26%,5.32MB / 85.3MB,0B / 0B
2026-09-07T21:45:48.0192935Z,f0ca9beaee79,13.44%,795.9MiB / 7.669GiB,10.14%,174MB / 279MB,20.4MB / 45.6MB
2026-09-07T21:45:48.0192935Z,7015ccbd4117,0.13%,54.1MiB / 7.669GiB,0.69%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:45:48.0192935Z,780cf24df99c,0.87%,608.8MiB / 7.669GiB,7.75%,26.5MB / 23.4MB,148MB / 67.9MB
2026-09-07T21:45:48.0192935Z,d6e0c9f9bb0e,37.82%,215.3MiB / 7.669GiB,2.74%,98MB / 10.1MB,69.7MB / 904MB
2026-09-07T21:45:48.0192935Z,4c260e843873,42.43%,1019MiB / 7.669GiB,12.97%,287MB / 151MB,167MB / 247MB
2026-09-07T21:46:00.9318204Z,a6276b118c81,32.37%,20.17MiB / 7.669GiB,0.26%,5.56MB / 89.2MB,0B / 0B
2026-09-07T21:46:00.9318204Z,f0ca9beaee79,14.59%,796MiB / 7.669GiB,10.14%,179MB / 288MB,20.4MB / 45.6MB
2026-09-07T21:46:00.9318204Z,7015ccbd4117,0.09%,54.01MiB / 7.669GiB,0.69%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:46:00.9318204Z,780cf24df99c,0.85%,608.6MiB / 7.669GiB,7.75%,26.6MB / 23.5MB,148MB / 67.9MB
2026-09-07T21:46:00.9318204Z,d6e0c9f9bb0e,51.16%,215.3MiB / 7.669GiB,2.74%,102MB / 10.5MB,69.7MB / 922MB
2026-09-07T21:46:00.9318204Z,4c260e843873,15.49%,1021MiB / 7.669GiB,13.00%,298MB / 156MB,167MB / 260MB
2026-09-07T21:46:13.8104590Z,a6276b118c81,28.15%,19.89MiB / 7.669GiB,0.25%,5.83MB / 93.4MB,0B / 0B
2026-09-07T21:46:13.8104590Z,f0ca9beaee79,16.18%,784.2MiB / 7.669GiB,9.99%,185MB / 299MB,20.4MB / 45.6MB
2026-09-07T21:46:13.8104590Z,7015ccbd4117,3.96%,54.75MiB / 7.669GiB,0.70%,38kB / 9.63kB,194MB / 23.6MB
2026-09-07T21:46:13.8104590Z,780cf24df99c,0.87%,602.5MiB / 7.669GiB,7.67%,26.6MB / 23.5MB,148MB / 67.9MB
2026-09-07T21:46:13.8104590Z,d6e0c9f9bb0e,53.89%,215.9MiB / 7.669GiB,2.75%,105MB / 10.8MB,69.7MB / 959MB
2026-09-07T21:46:13.8104590Z,4c260e843873,16.29%,1.001GiB / 7.669GiB,13.05%,307MB / 161MB,167MB / 270MB
