bucket_start,bucket_end,symbol,scenario,event_count,avg_price,total_quantity,avg_ingestion_latency_ms,p95_ingestion_latency_ms,max_ingestion_latency_ms
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,AAPL,low,14,170.542143,7916,30.07,224,224
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,ABEV3,low,8,12.058750,5531,29.38,125,125
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,BBDC4,low,10,14.048000,4879,55.40,422,422
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,BOVA11,low,12,125.087500,7089,89.08,719,719
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,BTC-USD,low,8,65279.236250,4192,195.75,620,620
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,ITUB4,low,10,33.891000,5433,15.00,23,23
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,MGLU3,low,7,1.992857,4689,45.86,232,232
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,MSFT,low,6,420.033333,1873,65.83,323,323
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,PETR4,low,5,37.938000,2270,41.60,127,127
2026-09-07 21:24:10+00,2026-09-07 21:24:20+00,VALE3,low,9,62.395556,4423,14.44,16,16
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,AAPL,low,12,170.122500,4839,791.25,1980,1980
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,ABEV3,low,9,11.980000,5218,66.56,489,489
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,BBDC4,low,10,14.002000,4379,555.00,1881,1881
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,BOVA11,low,10,125.162000,6541,242.30,987,987
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,BTC-USD,low,9,64792.525556,4268,251.22,1385,1385
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,ITUB4,low,14,34.077143,8248,151.07,564,564
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,MGLU3,low,19,1.999474,7945,235.21,1484,1484
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,MSFT,low,11,419.347273,6731,309.82,1583,1583
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,PETR4,low,9,38.018889,4078,201.44,1186,1186
2026-09-07 21:24:20+00,2026-09-07 21:24:30+00,VALE3,low,9,62.011111,4312,83.11,539,539
2026-09-07 21:24:30+00,2026-09-07 21:24:40+00,AAPL,low,14,170.070000,6145,149.79,1308,1308
2026-09-07 21:24:30+00,2026-09-07 21:24:40+00,ABEV3,low,9,12.006667,4445,147.33,810,810
2026-09-07 21:24:30+00,2026-09-07 21:24:40+00,BBDC4,low,10,13.954000,5051,63.60,411,411
2026-09-07 21:24:30+00,2026-09-07 21:24:40+00,BOVA11,low,15,125.365333,7562,272.80,1507,1507
2026-09-07 21:24:30+00,2026-09-07 21:24:40+00,BTC-USD,low,4,65281.787500,2075,262.75,1009,1009
2026-09-07 21:24:30+00,2026-09-07 21:24:40+00,ITUB4,low,8,33.921250,4833,49.00,291,291
