minute,scenario,events,avg_latency_ms,p95_latency_ms
2026-09-07 21:24:00+00,low,501,149.45,788
2026-09-07 21:25:00+00,low,600,271.33,1929.9499999999955
2026-09-07 21:26:00+00,low,600,19.41,15
2026-09-07 21:27:00+00,low,600,13.05,14
2026-09-07 21:28:00+00,low,600,21.99,23
2026-09-07 21:29:00+00,low,99,16.12,13
2026-09-07 21:30:00+00,medium,5358,8.40,14
2026-09-07 21:31:00+00,medium,6001,346.85,2912
2026-09-07 21:32:00+00,medium,5999,875.60,5351.899999999995
2026-09-07 21:33:00+00,medium,6001,10.17,15
2026-09-07 21:34:00+00,medium,6000,8.94,15
2026-09-07 21:35:00+00,medium,6001,37.70,48
2026-09-07 21:36:00+00,medium,6000,12.37,16
2026-09-07 21:37:00+00,medium,6000,8.55,14
2026-09-07 21:38:00+00,medium,5267,10.51,23
2026-09-07 21:39:00+00,medium,6735,843.82,6724.499999999996
2026-09-07 21:40:00+00,medium,638,10.60,18.149999999999977
2026-09-07 21:41:00+00,high,52990,117.55,382
2026-09-07 21:42:00+00,high,60010,60.36,248
2026-09-07 21:43:00+00,high,59656,214.39,1179.25
2026-09-07 21:44:00+00,high,60143,167.31,934.8999999999942
2026-09-07 21:45:00+00,high,60203,105.09,361
2026-09-07 21:46:00+00,high,60005,117.09,493
2026-09-07 21:47:00+00,high,59901,113.24,386
2026-09-07 21:48:00+00,high,59772,197.62,1099
2026-09-07 21:49:00+00,high,60341,124.30,481
2026-09-07 21:50:00+00,high,60004,101.23,358.84999999999854
2026-09-07 21:51:00+00,high,6975,69.14,274
