timestamp_utc,container,cpu_percent,memory_usage,memory_percent,net_io,block_io
2026-09-07T22:13:39.9653706Z,52a6f56b69db,1.83%,666.9MiB / 7.669GiB,8.49%,25.6MB / 5.8MB,0B / 44.7MB
2026-09-07T22:13:39.9653706Z,b70629ac2384,0.05%,46.19MiB / 7.669GiB,0.59%,26.5kB / 6.08kB,0B / 23.5MB
2026-09-07T22:13:39.9653706Z,148e0df0f1ec,1.15%,517MiB / 7.669GiB,6.58%,23.7MB / 22.6MB,0B / 66.8MB
2026-09-07T22:13:39.9653706Z,6ed2d36740fc,0.01%,57.47MiB / 7.669GiB,0.73%,1.02MB / 173kB,0B / 89.6MB
2026-09-07T22:13:39.9653706Z,9097845becb9,1.85%,418.3MiB / 7.669GiB,5.33%,4.66MB / 3.32MB,0B / 9.7MB
2026-09-07T22:13:39.9653706Z,872dc7498c4c,141.56%,5.109MiB / 7.669GiB,0.07%,2.36kB / 1.38kB,0B / 32.8kB
2026-09-07T22:13:53.8035003Z,52a6f56b69db,1.37%,678.2MiB / 7.669GiB,8.64%,25.6MB / 5.89MB,0B / 44.7MB
2026-09-07T22:13:53.8035003Z,872dc7498c4c,173.38%,75.04MiB / 7.669GiB,0.96%,23.5kB / 11.9kB,0B / 262kB
2026-09-07T22:13:53.8035003Z,b70629ac2384,0.04%,45.38MiB / 7.669GiB,0.58%,26.6kB / 6.08kB,0B / 23.5MB
2026-09-07T22:13:53.8035003Z,148e0df0f1ec,1.74%,511.7MiB / 7.669GiB,6.52%,23.7MB / 22.7MB,0B / 66.9MB
2026-09-07T22:13:53.8035003Z,6ed2d36740fc,0.00%,57.48MiB / 7.669GiB,0.73%,1.02MB / 173kB,0B / 89.6MB
2026-09-07T22:13:53.8035003Z,9097845becb9,1.77%,418.7MiB / 7.669GiB,5.33%,4.69MB / 3.35MB,0B / 9.86MB
2026-09-07T22:14:06.5971109Z,3fee1113b794,8.40%,17.54MiB / 7.669GiB,0.22%,22.5kB / 107kB,0B / 0B
2026-09-07T22:14:06.5971109Z,52a6f56b69db,8.38%,687.7MiB / 7.669GiB,8.76%,25.8MB / 6.17MB,0B / 44.7MB
2026-09-07T22:14:06.5971109Z,b70629ac2384,0.04%,45.8MiB / 7.669GiB,0.58%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:14:06.5971109Z,148e0df0f1ec,0.93%,510.2MiB / 7.669GiB,6.50%,23.8MB / 22.7MB,0B / 66.9MB
2026-09-07T22:14:06.5971109Z,6ed2d36740fc,4.63%,57.52MiB / 7.669GiB,0.73%,1.08MB / 180kB,0B / 89.9MB
2026-09-07T22:14:06.5971109Z,9097845becb9,33.94%,435.1MiB / 7.669GiB,5.54%,4.89MB / 3.5MB,0B / 10MB
2026-09-07T22:14:19.4721992Z,3fee1113b794,7.75%,18.55MiB / 7.669GiB,0.24%,117kB / 616kB,0B / 0B
2026-09-07T22:14:19.4721992Z,52a6f56b69db,8.94%,743.4MiB / 7.669GiB,9.47%,26.6MB / 7.44MB,0B / 44.7MB
2026-09-07T22:14:19.4721992Z,b70629ac2384,0.07%,46.62MiB / 7.669GiB,0.59%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:14:19.4721992Z,148e0df0f1ec,1.32%,513.5MiB / 7.669GiB,6.54%,23.9MB / 22.7MB,0B / 66.9MB
2026-09-07T22:14:19.4721992Z,6ed2d36740fc,4.69%,58.29MiB / 7.669GiB,0.74%,1.42MB / 216kB,0B / 91.1MB
2026-09-07T22:14:19.4721992Z,9097845becb9,9.64%,421.4MiB / 7.669GiB,5.37%,6.44MB / 4.47MB,0B / 10.2MB
2026-09-07T22:14:32.3140150Z,3fee1113b794,7.70%,18.5MiB / 7.669GiB,0.24%,213kB / 1.13MB,0B / 0B
2026-09-07T22:14:32.3140150Z,52a6f56b69db,54.48%,752.2MiB / 7.669GiB,9.58%,27.5MB / 8.78MB,0B / 44.7MB
2026-09-07T22:14:32.3140150Z,b70629ac2384,0.05%,45.36MiB / 7.669GiB,0.58%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:14:32.3140150Z,148e0df0f1ec,0.86%,513.3MiB / 7.669GiB,6.54%,23.9MB / 22.7MB,0B / 66.9MB
2026-09-07T22:14:32.3140150Z,6ed2d36740fc,4.52%,59.28MiB / 7.669GiB,0.75%,1.82MB / 260kB,0B / 92.6MB
2026-09-07T22:14:32.3140150Z,9097845becb9,11.33%,425MiB / 7.669GiB,5.41%,7.89MB / 5.39MB,0B / 10.4MB
2026-09-07T22:14:45.1535874Z,3fee1113b794,7.57%,18.04MiB / 7.669GiB,0.23%,307kB / 1.63MB,0B / 0B
2026-09-07T22:14:45.1535874Z,52a6f56b69db,12.41%,756.1MiB / 7.669GiB,9.63%,28.3MB / 10.2MB,0B / 44.7MB
2026-09-07T22:14:45.1535874Z,b70629ac2384,0.03%,45.35MiB / 7.669GiB,0.58%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:14:45.1535874Z,148e0df0f1ec,0.77%,513.7MiB / 7.669GiB,6.54%,24MB / 22.7MB,0B / 67MB
2026-09-07T22:14:45.1535874Z,6ed2d36740fc,1.71%,59.62MiB / 7.669GiB,0.76%,2.21MB / 299kB,0B / 94.1MB
2026-09-07T22:14:45.1535874Z,9097845becb9,174.70%,522.6MiB / 7.669GiB,6.65%,9.3MB / 6.28MB,0B / 10.5MB
2026-09-07T22:14:57.9489831Z,3fee1113b794,7.77%,17.73MiB / 7.669GiB,0.23%,401kB / 2.14MB,0B / 0B
2026-09-07T22:14:57.9489831Z,52a6f56b69db,6.44%,742.1MiB / 7.669GiB,9.45%,29.1MB / 11.4MB,0B / 44.7MB
2026-09-07T22:14:57.9489831Z,b70629ac2384,0.04%,46.22MiB / 7.669GiB,0.59%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:14:57.9489831Z,148e0df0f1ec,1.02%,513.1MiB / 7.669GiB,6.53%,24MB / 22.7MB,0B / 67MB
2026-09-07T22:14:57.9489831Z,6ed2d36740fc,4.63%,60MiB / 7.669GiB,0.76%,2.57MB / 340kB,0B / 97.7MB
2026-09-07T22:14:57.9489831Z,9097845becb9,8.96%,498.6MiB / 7.669GiB,6.35%,10.7MB / 7.15MB,0B / 14.1MB
2026-09-07T22:15:10.7402448Z,3fee1113b794,9.92%,18.14MiB / 7.669GiB,0.23%,495kB / 2.65MB,0B / 0B
2026-09-07T22:15:10.7402448Z,52a6f56b69db,6.55%,738MiB / 7.669GiB,9.40%,30MB / 12.7MB,0B / 44.7MB
2026-09-07T22:15:10.7402448Z,b70629ac2384,0.05%,46.43MiB / 7.669GiB,0.59%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:15:10.7402448Z,148e0df0f1ec,1.07%,513.2MiB / 7.669GiB,6.53%,24MB / 22.7MB,0B / 67MB
2026-09-07T22:15:10.7402448Z,6ed2d36740fc,5.48%,60.75MiB / 7.669GiB,0.77%,2.94MB / 380kB,0B / 100MB
2026-09-07T22:15:10.7402448Z,9097845becb9,10.39%,530.5MiB / 7.669GiB,6.76%,12.1MB / 8.02MB,0B / 14.3MB
2026-09-07T22:15:23.4441578Z,3fee1113b794,7.71%,17.64MiB / 7.669GiB,0.22%,589kB / 3.15MB,0B / 0B
2026-09-07T22:15:23.4441578Z,52a6f56b69db,6.10%,731.8MiB / 7.669GiB,9.32%,30.9MB / 14.1MB,0B / 44.7MB
2026-09-07T22:15:23.4441578Z,b70629ac2384,0.03%,45.15MiB / 7.669GiB,0.57%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:15:23.4441578Z,148e0df0f1ec,0.98%,529.8MiB / 7.669GiB,6.75%,24.1MB / 22.7MB,0B / 67MB
2026-09-07T22:15:23.4441578Z,6ed2d36740fc,4.71%,61.6MiB / 7.669GiB,0.78%,3.31MB / 419kB,0B / 104MB
2026-09-07T22:15:23.4441578Z,9097845becb9,8.49%,563.1MiB / 7.669GiB,7.17%,13.4MB / 8.83MB,0B / 16.7MB
2026-09-07T22:15:36.1199410Z,3fee1113b794,7.68%,17.69MiB / 7.669GiB,0.23%,683kB / 3.65MB,0B / 0B
2026-09-07T22:15:36.1199410Z,52a6f56b69db,6.46%,733.8MiB / 7.669GiB,9.34%,31.7MB / 15.4MB,0B / 44.7MB
2026-09-07T22:15:36.1199410Z,b70629ac2384,0.62%,45.82MiB / 7.669GiB,0.58%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:15:36.1199410Z,148e0df0f1ec,0.93%,530.2MiB / 7.669GiB,6.75%,24.1MB / 22.7MB,0B / 67.1MB
2026-09-07T22:15:36.1199410Z,6ed2d36740fc,4.50%,62.02MiB / 7.669GiB,0.79%,3.67MB / 458kB,0B / 107MB
2026-09-07T22:15:36.1199410Z,9097845becb9,8.51%,599MiB / 7.669GiB,7.63%,14.8MB / 9.7MB,0B / 16.9MB
2026-09-07T22:15:48.9321611Z,3fee1113b794,7.88%,17.89MiB / 7.669GiB,0.23%,769kB / 4.12MB,0B / 0B
2026-09-07T22:15:48.9321611Z,52a6f56b69db,5.80%,740.8MiB / 7.669GiB,9.43%,32.5MB / 16.8MB,0B / 44.7MB
2026-09-07T22:15:48.9321611Z,b70629ac2384,0.13%,46.11MiB / 7.669GiB,0.59%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:15:48.9321611Z,148e0df0f1ec,0.98%,529.4MiB / 7.669GiB,6.74%,24.2MB / 22.8MB,0B / 67.1MB
2026-09-07T22:15:48.9321611Z,6ed2d36740fc,3.95%,63.13MiB / 7.669GiB,0.80%,4.02MB / 495kB,0B / 109MB
2026-09-07T22:15:48.9321611Z,9097845becb9,8.14%,634.7MiB / 7.669GiB,8.08%,16.2MB / 10.6MB,0B / 17.1MB
2026-09-07T22:16:01.6989022Z,3fee1113b794,8.00%,18.47MiB / 7.669GiB,0.24%,870kB / 4.67MB,0B / 0B
2026-09-07T22:16:01.6989022Z,52a6f56b69db,6.66%,741.2MiB / 7.669GiB,9.44%,33.4MB / 18.1MB,0B / 44.8MB
2026-09-07T22:16:01.6989022Z,b70629ac2384,0.04%,46.05MiB / 7.669GiB,0.59%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:16:01.6989022Z,148e0df0f1ec,1.03%,529.5MiB / 7.669GiB,6.74%,24.2MB / 22.8MB,0B / 67.1MB
2026-09-07T22:16:01.6989022Z,6ed2d36740fc,6.43%,63.73MiB / 7.669GiB,0.81%,4.41MB / 539kB,0B / 113MB
2026-09-07T22:16:01.6989022Z,9097845becb9,8.38%,672.8MiB / 7.669GiB,8.57%,17.7MB / 11.5MB,0B / 19.6MB
2026-09-07T22:16:14.4715143Z,3fee1113b794,7.61%,18.01MiB / 7.669GiB,0.23%,965kB / 5.18MB,0B / 0B
2026-09-07T22:16:14.4715143Z,52a6f56b69db,7.67%,746.4MiB / 7.669GiB,9.50%,34.2MB / 19.3MB,0B / 44.8MB
2026-09-07T22:16:14.4715143Z,b70629ac2384,0.10%,45.54MiB / 7.669GiB,0.58%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:16:14.4715143Z,148e0df0f1ec,2.50%,530.7MiB / 7.669GiB,6.76%,24.3MB / 22.8MB,0B / 67.2MB
2026-09-07T22:16:14.4715143Z,6ed2d36740fc,5.29%,64.02MiB / 7.669GiB,0.82%,4.78MB / 578kB,0B / 115MB
2026-09-07T22:16:14.4715143Z,9097845becb9,36.92%,727MiB / 7.669GiB,9.26%,19.1MB / 12.4MB,0B / 19.8MB
2026-09-07T22:16:27.3102889Z,3fee1113b794,8.29%,17.32MiB / 7.669GiB,0.22%,1.05MB / 5.65MB,0B / 0B
2026-09-07T22:16:27.3102889Z,52a6f56b69db,7.15%,746.1MiB / 7.669GiB,9.50%,35MB / 20.6MB,0B / 44.8MB
2026-09-07T22:16:27.3102889Z,b70629ac2384,0.65%,46.66MiB / 7.669GiB,0.59%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:16:27.3102889Z,148e0df0f1ec,1.00%,529.9MiB / 7.669GiB,6.75%,24.4MB / 22.8MB,0B / 67.2MB
2026-09-07T22:16:27.3102889Z,6ed2d36740fc,4.94%,64.97MiB / 7.669GiB,0.83%,5.15MB / 618kB,0B / 117MB
2026-09-07T22:16:27.3102889Z,9097845becb9,7.80%,745.9MiB / 7.669GiB,9.50%,20.5MB / 13.3MB,0B / 21.9MB
2026-09-07T22:16:40.1122478Z,3fee1113b794,8.67%,18.09MiB / 7.669GiB,0.23%,1.15MB / 6.2MB,0B / 0B
2026-09-07T22:16:40.1122478Z,52a6f56b69db,6.69%,735.4MiB / 7.669GiB,9.36%,35.8MB / 21.9MB,0B / 44.8MB
2026-09-07T22:16:40.1122478Z,b70629ac2384,0.08%,45.2MiB / 7.669GiB,0.58%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:16:40.1122478Z,148e0df0f1ec,1.30%,529.8MiB / 7.669GiB,6.75%,24.4MB / 22.8MB,0B / 67.2MB
2026-09-07T22:16:40.1122478Z,6ed2d36740fc,5.23%,65.05MiB / 7.669GiB,0.83%,5.51MB / 658kB,0B / 118MB
2026-09-07T22:16:40.1122478Z,9097845becb9,176.73%,861.6MiB / 7.669GiB,10.97%,21.9MB / 14.2MB,0B / 22.7MB
2026-09-07T22:16:52.9489062Z,3fee1113b794,7.93%,17.84MiB / 7.669GiB,0.23%,1.24MB / 6.67MB,0B / 0B
2026-09-07T22:16:52.9489062Z,52a6f56b69db,5.96%,745MiB / 7.669GiB,9.49%,36.7MB / 23.4MB,0B / 44.8MB
2026-09-07T22:16:52.9489062Z,b70629ac2384,0.04%,45.43MiB / 7.669GiB,0.58%,26.8kB / 6.08kB,0B / 23.5MB
2026-09-07T22:16:52.9489062Z,148e0df0f1ec,0.98%,529.3MiB / 7.669GiB,6.74%,24.4MB / 22.8MB,0B / 67.2MB
2026-09-07T22:16:52.9489062Z,6ed2d36740fc,4.74%,66.6MiB / 7.669GiB,0.85%,5.89MB / 698kB,0B / 121MB
2026-09-07T22:16:52.9489062Z,9097845becb9,7.17%,790.8MiB / 7.669GiB,10.07%,23.3MB / 15.1MB,0B / 24.3MB
2026-09-07T22:17:05.7617477Z,3fee1113b794,7.75%,17.72MiB / 7.669GiB,0.23%,1.34MB / 7.22MB,0B / 0B
2026-09-07T22:17:05.7617477Z,52a6f56b69db,6.01%,746.2MiB / 7.669GiB,9.50%,37.6MB / 24.6MB,0B / 44.8MB
