timestamp_utc,container,cpu_percent,memory_usage,memory_percent,net_io,block_io
2026-09-07T22:36:49.3192508Z,b96ff08d6f6b,209.82%,179.9MiB / 7.669GiB,2.29%,2.48kB / 1.39MB,0B / 262kB
2026-09-07T22:36:49.3192508Z,e82df77eecb0,3.73%,380.1MiB / 7.669GiB,4.84%,7.55kB / 16.3kB,0B / 22.5MB
2026-09-07T22:36:49.3192508Z,2203b3624192,0.64%,51.92MiB / 7.669GiB,0.66%,24.8kB / 4.47kB,0B / 23.5MB
2026-09-07T22:36:49.3192508Z,993668007d61,16.02%,315.3MiB / 7.669GiB,4.01%,1.52MB / 7.91kB,0B / 22.7MB
2026-09-07T22:36:49.3192508Z,7889eabeaeed,0.02%,38.95MiB / 7.669GiB,0.50%,7.69kB / 1.23kB,0B / 62.4MB
2026-09-07T22:36:49.3192508Z,0ddeeeb4ac66,1.57%,280.4MiB / 7.669GiB,3.57%,25.8kB / 56.2kB,0B / 803kB
2026-09-07T22:37:02.2326467Z,e82df77eecb0,5.61%,560.2MiB / 7.669GiB,7.13%,22.2MB / 124kB,1.28MB / 44.3MB
2026-09-07T22:37:02.2326467Z,bb0fd2f6e80b,108.75%,8.523MiB / 7.669GiB,0.11%,11.2kB / 5.4kB,0B / 131kB
2026-09-07T22:37:02.2326467Z,2203b3624192,0.05%,51.57MiB / 7.669GiB,0.66%,25.3kB / 4.73kB,0B / 23.5MB
2026-09-07T22:37:02.2326467Z,993668007d61,2.36%,410.8MiB / 7.669GiB,5.23%,21.9MB / 22.2MB,0B / 66MB
2026-09-07T22:37:02.2326467Z,7889eabeaeed,0.03%,48.64MiB / 7.669GiB,0.62%,13.8kB / 7.33kB,0B / 62.7MB
2026-09-07T22:37:02.2326467Z,0ddeeeb4ac66,8.04%,289MiB / 7.669GiB,3.68%,51.4kB / 94.2kB,0B / 1.01MB
2026-09-07T22:37:15.0334112Z,e82df77eecb0,6.41%,548.6MiB / 7.669GiB,6.99%,22.2MB / 211kB,1.28MB / 44.3MB
2026-09-07T22:37:15.0334112Z,bb0fd2f6e80b,154.72%,74.5MiB / 7.669GiB,0.95%,37.9kB / 18kB,0B / 393kB
2026-09-07T22:37:15.0334112Z,2203b3624192,0.04%,51.35MiB / 7.669GiB,0.65%,25.4kB / 4.78kB,0B / 23.5MB
2026-09-07T22:37:15.0334112Z,993668007d61,3.12%,427.4MiB / 7.669GiB,5.44%,22MB / 22.2MB,0B / 66MB
2026-09-07T22:37:15.0334112Z,7889eabeaeed,0.01%,47.8MiB / 7.669GiB,0.61%,13.8kB / 7.33kB,0B / 62.7MB
2026-09-07T22:37:15.0334112Z,0ddeeeb4ac66,3.62%,304.7MiB / 7.669GiB,3.88%,71.9kB / 128kB,0B / 1.15MB
2026-09-07T22:37:27.7944945Z,0ca8d4b542e1,1.63%,17.03MiB / 7.669GiB,0.22%,13.4kB / 42.9kB,0B / 0B
2026-09-07T22:37:27.7944945Z,e82df77eecb0,10.43%,563.9MiB / 7.669GiB,7.18%,22.3MB / 309kB,1.28MB / 44.3MB
2026-09-07T22:37:27.7944945Z,2203b3624192,0.06%,51.28MiB / 7.669GiB,0.65%,25.6kB / 4.78kB,0B / 23.5MB
2026-09-07T22:37:27.7944945Z,993668007d61,2.59%,431.7MiB / 7.669GiB,5.50%,22MB / 22.2MB,0B / 66MB
2026-09-07T22:37:27.7944945Z,7889eabeaeed,0.59%,51.04MiB / 7.669GiB,0.65%,32.5kB / 10.4kB,0B / 63.6MB
2026-09-07T22:37:27.7944945Z,0ddeeeb4ac66,9.95%,306.7MiB / 7.669GiB,3.91%,183kB / 219kB,0B / 1.34MB
2026-09-07T22:37:40.6277298Z,0ca8d4b542e1,1.78%,16.96MiB / 7.669GiB,0.22%,29.7kB / 108kB,0B / 0B
2026-09-07T22:37:40.6277298Z,e82df77eecb0,6.87%,563.8MiB / 7.669GiB,7.18%,22.4MB / 514kB,1.28MB / 44.3MB
2026-09-07T22:37:40.6277298Z,2203b3624192,0.09%,52.34MiB / 7.669GiB,0.67%,25.9kB / 5.08kB,0B / 23.5MB
2026-09-07T22:37:40.6277298Z,993668007d61,2.02%,432.2MiB / 7.669GiB,5.50%,22MB / 22.2MB,0B / 66MB
2026-09-07T22:37:40.6277298Z,7889eabeaeed,0.53%,54.59MiB / 7.669GiB,0.70%,83.5kB / 18.2kB,0B / 64.3MB
2026-09-07T22:37:40.6277298Z,0ddeeeb4ac66,167.70%,370.5MiB / 7.669GiB,4.72%,389kB / 359kB,0B / 1.5MB
2026-09-07T22:37:53.4159583Z,0ca8d4b542e1,1.55%,17.16MiB / 7.669GiB,0.22%,47.5kB / 179kB,0B / 0B
2026-09-07T22:37:53.4159583Z,e82df77eecb0,9.28%,579.7MiB / 7.669GiB,7.38%,22.6MB / 764kB,1.28MB / 44.3MB
2026-09-07T22:37:53.4159583Z,2203b3624192,0.05%,51.83MiB / 7.669GiB,0.66%,25.9kB / 5.08kB,0B / 23.5MB
2026-09-07T22:37:53.4159583Z,993668007d61,8.22%,466.2MiB / 7.669GiB,5.94%,22.1MB / 22.2MB,0B / 66.1MB
2026-09-07T22:37:53.4159583Z,7889eabeaeed,0.59%,54.31MiB / 7.669GiB,0.69%,126kB / 24.8kB,0B / 65MB
2026-09-07T22:37:53.4159583Z,0ddeeeb4ac66,4.67%,309MiB / 7.669GiB,3.94%,580kB / 488kB,0B / 1.72MB
2026-09-07T22:38:06.2584668Z,0ca8d4b542e1,1.75%,17.89MiB / 7.669GiB,0.23%,66.5kB / 256kB,0B / 0B
2026-09-07T22:38:06.2584668Z,e82df77eecb0,9.29%,594.5MiB / 7.669GiB,7.57%,22.7MB / 938kB,1.28MB / 44.3MB
2026-09-07T22:38:06.2584668Z,2203b3624192,0.04%,51.81MiB / 7.669GiB,0.66%,26.5kB / 6.01kB,0B / 23.5MB
