query,window,scenario,type,elapsed_ms
01-last-5-minutes,5min,low,233.69
02-last-1-hour,1h,low,246.21
03-last-24-hours,24h,low,238.16
10-cagg-last-5-minutes,5min,low,236.97
11-cagg-last-1-hour,1h,low,251.63
12-cagg-last-24-hours,24h,low,249.16
01-last-5-minutes,5min,medium,286.26
02-last-1-hour,1h,medium,262.05
03-last-24-hours,24h,medium,273.95
10-cagg-last-5-minutes,5min,medium,256.03
11-cagg-last-1-hour,1h,medium,261.43
12-cagg-last-24-hours,24h,medium,244.58
01-last-5-minutes,5min,high,369.72
02-last-1-hour,1h,high,360.66
03-last-24-hours,24h,high,960.04
10-cagg-last-5-minutes,5min,high,230.77
11-cagg-last-1-hour,1h,high,243.59
12-cagg-last-24-hours,24h,high,297.8
