scenario,container,sample_count,avg_cpu_percent,avg_mem_percent
high,0ddeeeb4ac66,50,31.53,12.51
high,2203b3624192,50,0.22,0.59
high,7889eabeaeed,50,41.69,2.23
high,993668007d61,50,1.47,6.8
high,bb0fd2f6e80b,2,149.62,0.45
high,cc373c1ceeb1,47,30.46,0.24
high,e82df77eecb0,50,13.46,9.95
low,0ca8d4b542e1,23,1.57,0.22
low,0ddeeeb4ac66,27,29.39,4.51
low,2203b3624192,27,0.16,0.64
low,7889eabeaeed,27,0.85,0.69
low,993668007d61,27,3.62,6.19
low,b96ff08d6f6b,1,209.82,2.29
low,bb0fd2f6e80b,2,131.74,0.53
low,e82df77eecb0,27,7.65,7.55
medium,0ddeeeb4ac66,50,27.33,9.77
medium,2203b3624192,50,0.24,0.59
medium,2aabd51e52ca,47,8.26,0.23
medium,7889eabeaeed,50,5.27,0.92
medium,993668007d61,50,1.46,6.69
medium,bb0fd2f6e80b,2,149.37,0.44
medium,e82df77eecb0,50,8.68,9.7
